"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처,소계,소계,소계,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택(거처)의 종류,주택이외의 거처,주택이외의 거처,주택이외의 거처
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계,소계,소계,소계,소계,소계,소계,단독주택,단독주택,단독주택,아파트,아파트,아파트,연립주택,연립주택,연립주택,다세대주택,다세대주택,다세대주택,비거주용 건물내 주택,비거주용 건물내 주택,비거주용 건물내 주택,소계,소계,소계
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,1115744,544059,571685,982577,470178,512399,521776,268511,253265,237913,95388,142525,17387,7277,10110,161031,73732,87299,44470,25270,19200,133167,73881,59286,1138860,544607,594253,989460,464271,525189,515463,262455,253008,240673,93565,147108,17518,7190,10328,174169,78343,95826,41637,22718,18919,149400,80336,69064,1180540,561524,619016,1009881,470459,539422,509816,259723,250093,251819,96864,154955,18007,7276,10731,188113,83691,104422,42126,22905,19221,170659,91065,79594,1229421,581944,647477,1045047,485596,559451,513330,262165,251165,264524,100969,163555,18680,7514,11166,205178,91526,113652,43335,23422,19913,184374,96348,88026,1299787,611561,688226,1100060,509621,590439,524735,268965,255770,286571,109124,177447,19555,7832,11723,223927,99066,124861,45272,24634,20638,199727,101940,97787,1390701,650999,739702,1163690,536424,627266,536654,274574,262080,311112,118308,192804,21613,8971,12642,250810,111069,139741,43501,23502,19999,227011,114575,112436,1489893,698324,791569,1240505,574089,666416,547251,283223,264028,347065,132325,214740,23430,9809,13621,275351,122190,153161,47408,26542,20866,249388,124235,125153
"합계",종로구,22776,11608,11168,19080,9403,9677,11170,5796,5374,2876,1355,1521,812,295,517,3212,1402,1810,1010,555,455,3696,2205,1491,22835,11185,11650,18970,8876,10094,11376,5590,5786,2588,1137,1451,877,322,555,3326,1424,1902,803,403,400,3865,2309,1556,23638,11594,12044,19260,9013,10247,11234,5565,5669,2992,1282,1710,887,315,572,3279,1407,1872,868,444,424,4378,2581,1797,25326,12635,12691,20633,9867,10766,12405,6367,6038,3014,1227,1787,877,314,563,3363,1442,1921,974,517,457,4693,2768,1925,24671,11942,12729,20018,9306,10712,11354,5653,5701,3336,1409,1927,927,333,594,3476,1468,2008,925,443,482,4653,2636,2017,25983,12663,13320,20750,9674,11076,11208,5611,5597,3691,1514,2177,1009,397,612,3993,1696,2297,849,456,393,5233,2989,2244,27308,13211,14097,21465,10037,11428,11290,5661,5629,3952,1631,2321,1110,447,663,4197,1811,2386,916,487,429,5843,3174,2669
"합계",중구,19161,9934,9227,15353,7559,7794,6902,3535,3367,5467,2472,2995,300,140,160,1906,959,947,778,453,325,3808,2375,1433,19671,9730,9941,16033,7621,8412,7441,3722,3719,5486,2357,3129,309,150,159,2052,986,1066,745,406,339,3638,2109,1529,20164,9826,10338,16111,7480,8631,7181,3475,3706,5673,2384,3289,301,142,159,2102,1027,1075,854,452,402,4053,2346,1707,20803,10052,10751,16522,7640,8882,7161,3486,3675,5875,2418,3457,337,152,185,2312,1123,1189,837,461,376,4281,2412,1869,22078,10677,11401,17378,8024,9354,7169,3517,3652,6589,2738,3851,345,146,199,2450,1176,1274,825,447,378,4700,2653,2047,22818,11021,11797,17845,8261,9584,7042,3502,3540,6871,2843,4028,375,171,204,2759,1295,1464,798,450,348,4973,2760,2213,24544,11654,12890,18406,8370,10036,6762,3374,3388,7582,3063,4519,388,162,226,2929,1352,1577,745,419,326,6138,3284,2854
"합계",용산구,31025,14556,16469,27870,12702,15168,16323,7831,8492,6005,2414,3591,673,265,408,4255,1908,2347,614,284,330,3155,1854,1301,31641,14511,17130,28184,12454,15730,16604,7752,8852,5637,2107,3530,684,281,403,4690,2045,2645,569,269,300,3457,2057,1400,33076,15176,17900,29320,13023,16297,16830,7833,8997,6117,2331,3786,716,295,421,5027,2232,2795,630,332,298,3756,2153,1603,34240,15794,18446,29856,13300,16556,16962,7935,9027,6164,2331,3833,740,317,423,5405,2437,2968,585,280,305,4384,2494,1890,35148,16204,18944,30263,13553,16710,16782,7873,8909,6162,2312,3850,771,328,443,5954,2733,3221,594,307,287,4885,2651,2234,36881,16880,20001,31438,13979,17459,16962,7851,9111,6264,2328,3936,769,341,428,6863,3175,3688,580,284,296,5443,2901,2542,39270,18124,21146,33407,15090,18317,16778,8025,8753,7368,2736,4632,823,370,453,7776,3570,4206,662,389,273,5863,3034,2829
"합계",성동구,35259,18401,16858,31469,16130,15339,18064,10188,7876,9168,3757,5411,234,91,143,2387,1180,1207,1616,914,702,3790,2271,1519,37074,19129,17945,33077,16830,16247,19203,10782,8421,9332,3699,5633,257,105,152,2776,1413,1363,1509,831,678,3997,2299,1698,39067,19964,19103,34689,17508,17181,19183,10794,8389,10705,4285,6420,256,96,160,3006,1458,1548,1539,875,664,4378,2456,1922,40706,20309,20397,35978,17738,18240,19574,10757,8817,11160,4333,6827,305,130,175,3319,1620,1699,1620,898,722,4728,2571,2157,41488,20525,20963,36487,17852,18635,19009,10639,8370,12167,4630,7537,284,118,166,3455,1607,1848,1572,858,714,5001,2673,2328,42585,20874,21711,37350,18105,19245,18791,10461,8330,13018,4907,8111,300,124,176,3580,1695,1885,1661,918,743,5235,2769,2466,44946,22127,22819,39191,19121,20070,19282,10766,8516,13956,5403,8553,342,143,199,3805,1785,2020,1806,1024,782,5755,3006,2749
