"자치구별(1)",자치구별(2),2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
"자치구별(1)",자치구별(2),공원,공원,도시공원,도시공원,도보생활권공원,도보생활권공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원,공원,공원,도시공원,도시공원,생활권 공원,생활권 공원
"자치구별(1)",자치구별(2),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡),면적 (천㎡),1인당 공원면적 (㎡)
"합계",소계,172317.39,17.39,118940.37,12.00,54442.22,5.49,168896.80,16.90,115481.00,11.50,57113.60,5.70,168843.30,16.80,115463.60,11.50,56848.80,5.70,168374.60,16.60,114990.90,11.40,55627.60,5.50,168203.90,16.50,114989.50,11.30,55294.00,5.40,167938.90,16.30,114720.80,11.10,54935.70,5.30,167646.90,16.20,114438.10,11.00,54322.80,5.20,170080.90,16.40,115747.30,11.10,54193.40,5.20,169125.40,16.20,115938.50,11.10,52489.00,5.00,170002.50,16.10,114728.80,10.90,51181.00,4.90
"합계",종로구,11402.58,71.72,6280.66,39.50,3024.28,19.02,11556.10,71.40,6433.00,39.70,3056.40,18.90,11555.80,70.90,6432.50,39.50,3053.60,18.70,11569.70,70.40,6448.60,39.30,3055.90,18.60,11567.40,71.40,6442.50,39.80,3052.40,18.90,11575.40,70.70,6450.50,39.40,3052.40,18.60,11575.40,70.00,6450.50,39.00,3043.90,18.40,11575.40,69.00,6450.50,38.40,3043.90,18.10,11643.90,67.20,6520.00,37.70,3044.90,17.60,10898.60,61.40,6444.70,36.30,3036.20,17.10
"합계",중구,3163.83,23.50,3091.30,22.96,1344.78,9.99,3155.10,23.10,3082.70,22.60,1482.40,10.90,3132.00,23.10,3082.40,22.70,1458.70,10.80,3132.00,23.30,3082.40,22.90,1453.70,10.80,3132.00,23.30,3082.40,22.90,1453.70,10.80,3132.50,23.30,3082.90,23.00,1454.10,10.80,3134.00,23.00,3084.40,22.60,1454.10,10.70,3128.10,22.70,3078.50,22.30,1450.10,10.50,3129.80,22.20,3080.20,21.90,1447.50,10.30,3129.70,22.10,3080.20,21.80,1441.70,10.20
"합계",용산구,1777.06,7.26,760.62,3.11,1612.72,6.59,1779.60,7.30,763.10,3.10,1661.20,6.80,1795.60,7.30,781.70,3.20,1658.70,6.80,1794.10,7.30,781.70,3.20,1657.20,6.80,1794.10,7.30,781.70,3.20,1654.20,6.70,1796.90,7.20,784.40,3.20,1654.30,6.70,1796.00,7.20,783.30,3.10,1646.50,6.60,1796.00,7.10,783.30,3.10,1646.50,6.50,1352.70,5.30,770.60,3.00,1212.40,4.70,1352.70,5.20,770.60,3.00,1212.40,4.70
"합계",성동구,3073.98,10.23,1231.01,4.10,2896.08,9.64,3100.00,10.00,1257.10,4.10,2986.00,9.70,3102.10,9.80,1260.70,4.00,2980.40,9.40,3101.40,9.90,1260.00,4.00,2973.90,9.50,3095.00,10.10,1253.60,4.10,2966.00,9.70,3067.30,10.10,1226.00,4.00,2933.80,9.60,3061.70,10.10,1220.10,4.00,2928.30,9.60,3061.70,10.00,1220.10,4.00,2926.60,9.50,2955.00,9.60,1113.30,3.60,2818.10,9.20,2955.20,9.60,1113.30,3.60,2810.20,9.10
"합계",광진구,3451.04,9.58,2985.27,8.29,1350.93,3.75,3363.50,9.20,2916.40,7.90,1238.30,3.40,3363.00,9.10,2916.40,7.90,1237.90,3.30,3359.20,9.00,2913.10,7.80,1234.40,3.30,3359.20,9.00,2913.10,7.80,1234.40,3.30,3396.20,9.10,2950.00,7.90,1233.90,3.30,3396.20,9.00,2950.00,7.80,1233.90,3.30,3395.60,8.90,2950.00,7.70,1233.30,3.20,3395.60,8.80,2950.00,7.70,1233.80,3.20,3395.60,8.80,2950.00,7.60,1233.80,3.20
"합계",동대문구,1219.25,3.42,978.13,2.74,1048.74,2.94,1275.10,3.50,1033.00,2.80,1199.60,3.30,1275.80,3.50,1033.70,2.80,1197.10,3.30,1275.60,3.50,1033.50,2.80,1192.50,3.30,1277.20,3.40,1035.10,2.80,1192.50,3.20,1281.10,3.40,1039.00,2.80,1192.50,3.20,1279.50,3.40,1037.40,2.80,1192.70,3.20,1234.50,3.30,992.40,2.60,1129.40,3.00,1238.10,3.30,995.50,2.60,1120.70,3.00,1237.10,3.30,994.40,2.60,1120.70,3.00
