특성별(1),특성별(2),국가안보(전쟁 가능성 북핵 등)(매우 불안하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(불안한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(보통이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(안전한 편이다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(매우 안전하다 (퍼센트)),국가안보(전쟁 가능성 북핵 등)(5점 평균 (점)),자연재해(태풍 지진 등)(매우 불안하다 (퍼센트)),자연재해(태풍 지진 등)(불안한 편이다 (퍼센트)),자연재해(태풍 지진 등)(보통이다 (퍼센트)),자연재해(태풍 지진 등)(안전한 편이다 (퍼센트)),자연재해(태풍 지진 등)(매우 안전하다 (퍼센트)),자연재해(태풍 지진 등)(5점 평균 (점)),건축물 및 시설물(주택 교량 등)(매우 불안하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(불안한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(보통이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(안전한 편이다 (퍼센트)),건축물 및 시설물(주택 교량 등)(매우 안전하다 (퍼센트)),건축물 및 시설물(주택 교량 등)(5점 평균 (점)),교통사고(매우 불안하다 (퍼센트)),교통사고(불안한 편이다 (퍼센트)),교통사고(보통이다 (퍼센트)),교통사고(안전한 편이다 (퍼센트)),교통사고(매우 안전하다 (퍼센트)),교통사고(5점 평균 (점)),화재(산불 포함)(매우 불안하다 (퍼센트)),화재(산불 포함)(불안한 편이다 (퍼센트)),화재(산불 포함)(보통이다 (퍼센트)),화재(산불 포함)(안전한 편이다 (퍼센트)),화재(산불 포함)(매우 안전하다 (퍼센트)),화재(산불 포함)(5점 평균 (점)),먹거리(불량식품 식중독)(매우 불안하다 (퍼센트)),먹거리(불량식품 식중독)(불안한 편이다 (퍼센트)),먹거리(불량식품 식중독)(보통이다 (퍼센트)),먹거리(불량식품 식중독)(안전한 편이다 (퍼센트)),먹거리(불량식품 식중독)(매우 안전하다 (퍼센트)),먹거리(불량식품 식중독)(5점 평균 (점)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 불안하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(불안한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(보통이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(안전한 편이다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(매우 안전하다 (퍼센트)),정보보안(컴퓨터바이러스 개인정보유출 해킹 등)(5점 평균 (점)),전염병(신종 바이러스 등)(매우 불안하다 (퍼센트)),전염병(신종 바이러스 등)(불안한 편이다 (퍼센트)),전염병(신종 바이러스 등)(보통이다 (퍼센트)),전염병(신종 바이러스 등)(안전한 편이다 (퍼센트)),전염병(신종 바이러스 등)(매우 안전하다 (퍼센트)),전염병(신종 바이러스 등)(5점 평균 (점)),범죄 위험(매우 불안하다 (퍼센트)),범죄 위험(불안한 편이다 (퍼센트)),범죄 위험(보통이다 (퍼센트)),범죄 위험(안전한 편이다 (퍼센트)),범죄 위험(매우 안전하다 (퍼센트)),범죄 위험(5점 평균 (점)),환경 오염(대기 수질 토양 등)(매우 불안하다 (퍼센트)),환경 오염(대기 수질 토양 등)(불안한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(보통이다 (퍼센트)),환경 오염(대기 수질 토양 등)(안전한 편이다 (퍼센트)),환경 오염(대기 수질 토양 등)(매우 안전하다 (퍼센트)),환경 오염(대기 수질 토양 등)(5점 평균 (점))
군구별,중구,0.6,15.7,52.8,29.6,1.3,3.2,0.4,12.6,46.6,39.1,1.4,3.3,0.5,7.1,54.4,36.8,1.2,3.3,1.3,12,57.2,28.2,1.3,3.2,0.2,8.1,51.1,39.2,1.4,3.3,0.3,7,59,32,1.7,3.3,1.2,8.6,55.7,32.6,1.8,3.3,3.5,19.2,48.3,27.7,1.4,3,6.5,28.5,44.7,18.7,1.6,2.8,2.3,18.6,59.8,17.6,1.8,3
군구별,동구,2.8,14.7,46,33.5,3,3.2,0.6,11.5,43.9,40,4.1,3.4,1.3,10.9,46.8,36.7,4.3,3.3,2.3,15.3,45.8,33.6,3,3.2,0.9,9.7,48.9,36.5,4,3.3,1.5,9.8,51,35.3,2.4,3.3,2.2,12.2,57.2,24.8,3.6,3.2,6.2,18.8,49.8,21.6,3.5,3,8,27.5,40,20.8,3.7,2.8,20.8,26.6,31.7,17.9,2.9,2.6
군구별,미추홀구,1.5,11.5,53.8,32.3,0.9,3.2,0.4,7,55.1,36,1.5,3.3,0.6,5.1,56.6,34.4,3.4,3.3,1.2,11,62.7,22.5,2.6,3.1,0.1,7.6,60.8,24.4,7.2,3.3,0.4,6.2,59.5,28.1,5.8,3.3,0.6,8.6,58.7,27.9,4.2,3.3,6.9,35.1,43.8,12.7,1.4,2.7,2.7,31.2,54.4,10.7,1,2.8,3.4,33.3,51.9,10.5,0.8,2.7
군구별,연수구,0.9,10,41.1,42.3,5.7,3.4,0.4,6.6,38.7,46,8.3,3.6,0.3,4.1,46.1,44.2,5.3,3.5,0.9,8.3,53.8,31.8,5.2,3.3,0.3,4.1,53.6,35.6,6.3,3.4,0.7,7.1,56.9,29.9,5.3,3.3,1.5,8.4,56.4,28.7,5,3.3,3.8,22.3,42,27.3,4.5,3.1,4.3,21.8,41.4,25.3,7.2,3.1,6,21.9,44.1,22,6.1,3
군구별,남동구,1.2,23.8,52.1,21.4,1.4,3,0.6,8.8,63.9,24.7,2,3.2,0.3,7.5,67.7,23.2,1.3,3.2,0.6,26.4,52.9,19.2,0.8,2.9,0.1,7,64.8,25,3,3.2,1.1,10.1,67.6,19.8,1.5,3.1,3.6,23.5,53.6,18.3,1,2.9,12.5,46,27.4,13.2,0.9,2.4,16.1,45.9,23.7,13.2,1.1,2.4,7.3,40.9,37.9,13,0.9,2.6
군구별,부평구,2.8,18.9,52.7,22.2,3.4,3,1.5,13,52.8,28.8,3.9,3.2,2,12.4,57.5,25.1,3,3.1,4,24.6,50.6,18.2,2.5,2.9,1.5,13,58.2,23.3,3.9,3.2,2.3,12.7,59,23.1,3,3.1,5.2,15.9,58,17.8,3,3,11.7,25.3,45.5,14.9,2.6,2.7,15.3,32.9,34.7,14.7,2.4,2.6,9.4,32.5,43.1,12.7,2.4,2.7
군구별,계양구,0.5,11.3,38.7,47.3,2.2,3.4,0.3,10.1,35.1,46.1,8.4,3.5,0.4,5.5,42.9,36.6,14.5,3.6,0.9,18.6,40.7,25.9,13.8,3.3,0.5,7.6,39,41.3,11.7,3.6,0.6,7.6,43.2,40.3,8.3,3.5,1.7,12.9,41,38.4,6.1,3.3,4.9,26.9,34.2,23.4,10.5,3.1,5.9,28.7,29.5,26.5,9.4,3,3.9,21.4,30.6,37.1,7,3.2
군구별,서구,3.6,17.3,48.2,27.3,3.6,3.1,1.4,11.6,50.6,32.5,4.1,3.3,1.3,12.4,51.3,31,4,3.2,3.2,18.7,52.6,22.2,3.2,3,1.7,10.6,58,26.5,3.3,3.2,3.8,10.3,56.3,25.1,4.5,3.2,5,11.4,57.1,22.4,4.1,3.1,12,17.2,48.9,19.3,2.7,2.8,13.5,25.1,38.5,20.3,2.6,2.7,16.2,28.8,35.3,17.7,2,2.6
군구별,강화군,1.1,4.5,16.4,50,28.1,4,0.2,4.5,17.7,45.7,32,4,0.1,2.5,18.6,44.2,34.7,4.1,0.1,3.7,19.8,47.7,28.6,4,0.3,3.5,20.3,45.6,30.3,4,0.2,2.8,18.8,45.1,33,4.1,0.7,7.3,27.8,33.9,30.3,3.9,3.1,13.4,33.3,31.2,19,3.5,1.1,5.6,18.1,44.5,30.8,4,1.9,4.2,11.6,38,44.3,4.2
군구별,옹진군,2.2,13,34,43.1,7.7,3.4,1.2,11.2,33.9,46.6,7.1,3.5,0.1,3.1,39.9,48.8,8.1,3.6,0.1,2.5,36.7,49.6,11.1,3.7,0.1,1.5,36,47.7,14.6,3.8,0.3,3.5,40.6,38,17.7,3.7,0.5,4.8,33.3,38.5,22.8,3.8,0.6,16.6,25.9,32.1,24.9,3.6,1.5,15.1,22.8,36.9,23.6,3.7,1,13.8,33.3,33.3,18.5,3.5
