범죄대분류,범죄중분류,범죄소분류,발생,검거,검거인원(남),검거인원(여),불상,법인체
강력범죄,살인기수,살인,204 ,196 ,187 ,54 ,4 ,1 
강력범죄,살인기수,영아살해,5 ,5 ,0 ,5 ,0 ,0 
강력범죄,살인기수,존속살해,26 ,27 ,24 ,3 ,0 ,0 
강력범죄,살인기수,촉탁·승낙살인,2 ,1 ,5 ,4 ,0 ,0 
강력범죄,살인기수,자살교사·방조,25 ,24 ,12 ,14 ,0 ,0 
강력범죄,살인기수,위계·위력·촉탁·승낙살인,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,살인기수,특가법(보복살인등),3 ,3 ,4 ,0 ,0 ,0 
강력범죄,살인기수,아동학대처벌법(아동학대살해),5 ,5 ,2 ,3 ,0 ,0 
강력범죄,살인미수등,살인,343 ,336 ,308 ,46 ,10 ,0 
강력범죄,살인미수등,영아살해,3 ,3 ,2 ,2 ,0 ,0 
강력범죄,살인미수등,존속살해,25 ,25 ,20 ,5 ,0 ,0 
강력범죄,살인미수등,촉탁·승낙살인,1 ,1 ,0 ,1 ,0 ,0 
강력범죄,살인미수등,자살교사·방조,16 ,15 ,18 ,9 ,0 ,0 
강력범죄,살인미수등,위계·위력·촉탁·승낙살인,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강도,강도,86 ,86 ,71 ,11 ,1 ,0 
강력범죄,강도,준강도,61 ,60 ,52 ,13 ,0 ,0 
강력범죄,강도,특수강도,169 ,164 ,244 ,43 ,6 ,0 
강력범죄,강도,준특수강도,2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강도,강도상해·치상,149 ,146 ,252 ,32 ,5 ,0 
강력범죄,강도,강도살인·치사,16 ,16 ,17 ,1 ,0 ,0 
강력범죄,강도,해상강도(살인·치사·상해·치상),0 ,0 ,1 ,0 ,0 ,0 
강력범죄,강도,인질강도,0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강도,강도강간,8 ,9 ,11 ,0 ,0 ,0 
강력범죄,강도,(특수·인질·해상)강도(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강도,특가법(강도),2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강도,특가법(강도상해재범),2 ,2 ,2 ,0 ,0 ,0 
강력범죄,강간,강간,2166 ,2032 ,2131 ,31 ,10 ,0 
강력범죄,강간,강간(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강간,준강간,1048 ,997 ,1089 ,7 ,3 ,0 
강력범죄,강간,준강간(상습),0 ,0 ,0 ,0 ,0 ,0 
강력범죄,강간,강간상해·치상,283 ,274 ,290 ,3 ,2 ,0 
강력범죄,강간,강간살인·치사,1 ,1 ,1 ,0 ,0 ,0 
강력범죄,강간,미성년자간음(심신미약자),36 ,33 ,46 ,2 ,1 ,0 
강력범죄,강간,업무상위력에의한간음,24 ,23 ,29 ,1 ,0 ,0 
강력범죄,강간,친족관계에의한강간,143 ,138 ,143 ,1 ,0 ,0 
강력범죄,강간,장애인에대한강간·간음,309 ,283 ,323 ,6 ,3 ,0 
강력범죄,강간,청소년에대한강간·간음,492 ,469 ,508 ,14 ,2 ,0 
강력범죄,강간,미성년자의제강간,384 ,368 ,470 ,2 ,5 ,0 
강력범죄,강간,13세미만미성년자강간·간음,73 ,70 ,77 ,1 ,2 ,0 
강력범죄,강간,특수강간(준),166 ,159 ,328 ,8 ,6 ,0 
강력범죄,강간,주거침입강간,95 ,92 ,97 ,2 ,2 ,0 
강력범죄,강간,절도강간,1 ,1 ,1 ,0 ,0 ,0 
